questao,gabarito,enunciado,alternativas
33,E,"trajetória de Liesel Meminger é contada por uma narradora mórbida, surpreendentemente simpática. Ao perceber que a pequena ladra de livros lhe escapa, a Morte afeiçoa-se à menina e rastreia suas pegadas de 1939 a 1943. Traços de uma sobrevivente: a mãe comunista, perseguida pelo nazismo, envia Liesel e o irmão para o subúrbio pobre de uma cidade alemã, onde um casal se dispõe a adotá-los por dinheiro. O garoto morre no trajeto e é enterrado por um coveiro que deixa cair um livro na neve. É o primeiro de uma série que a menina vai surrupiar ao longo dos anos. O único vínculo com a família é esta obra, que ela ainda não sabe ler. vida ao redor é a pseudorrealidade criada em torno do culto a Hitler na Segunda Guerra. Ela assiste à eufórica celebração do aniversário do Führer pela vizinhança. A Morte, perplexa diante da violência humana, dá um tom leve e divertido à narrativa deste duro confronto entre a infância perdida e a crueldade do mundo adulto, um sucesso absoluto – e raro – de crítica e público. Disponível em: www.odevoradordelivros.com. Acesso em: 24 jun. 2014. Os gêneros textuais podem ser caracterizados, dentre outros fatores, por seus objetivos. Esse fragmento é um(a) ","['reportagem, pois busca convencer o interlocutor da tese defendida ao longo do texto. ', 'resumo, pois promove o contato rápido do leitor com uma informação desconhecida. ', 'sinopse, pois sintetiza as informações relevantes de uma obra de modo impessoal. ', 'instrução, pois ensina algo por meio de explicações sobre uma obra específica. ', 'resenha, pois apresenta uma produção intelectual de forma crítica. *SA0175AZ14*LC - 1º dia | Caderno 1 - AZUL - Página 15']"
34,B,"TEXTO I GRIMBERG, N. Estrutura vertical dupla. Disponível em: www.normagrimberg.com.br. Acesso em: 13 dez. 2017. TEXTO II Urna cerimonial marajoara . Cerâmica. 1400 a 400 a.C. 81 cm. Museu Nacional do Rio de Janeiro. Disponível em: www.museunacional.ufrj.br. Acesso em: 11 dez. 2017. As duas imagens são produções que têm a cerâmica como matéria-prima. A obra Estrutura vertical dupla se distingue da urna funerária marajoara ao ","['evidenciar a simetria na disposição das peças. ', 'materializar a técnica sem função utilitária. ', 'abandonar a regularidade na composição. ', 'anular possibilidades de leituras afetivas. ', 'integrar o suporte em sua constituição.']"
35,A,"o que será que ela quer essa mulher de vermelho alguma coisa ela quer pra ter posto esse vestido não pode ser apenas uma escolha casualpodia ser um amarelo verde ou talvez azul mas ela escolheu vermelho ela sabe o que ela quer e ela escolheu vestidoe ela é uma mulher então com base nesses fatos eu já posso afirmar que conheço o seu desejo caro watson, elementar:o que ela quer sou euzinho sou euzinho o que ela quer só pode ser euzinho o que mais podia ser FREITAS, A. Um útero é do tamanho de um punho . São Paulo: Cosac Naify, 2013. No processo de elaboração do poema, a autora confere ao eu lírico uma identidade que aqui representa a ","['hipocrisia do discurso alicerçado sobre o senso comum. ', 'mudança de paradigmas de imagem atribuídos à mulher. ', 'tentativa de estabelecer preceitos da psicologia feminina. ', 'importância da correlação entre ações e efeitos causados. ', 'valorização da sensibilidade como característica de gênero.']"
36,B,"O rio que fazia uma volta atrás de nossa casa era a imagem de um vidro mole que fazia uma volta atrás de casa.Passou um homem e disse: Essa volta que o rio faz por trás de sua casa se chama enseada. Não era mais a imagem de uma cobra de vidro que fazia uma volta atrás de casa. Era uma enseada. Acho que o nome empobreceu a imagem. BARROS, M. O livro das ignorãças . Rio de Janeiro: Best Seller, 2008. O sujeito poético questiona o uso do vocábulo “enseada” porque a ","['terminologia mencionada é incorreta. ', 'nomeação minimiza a percepção subjetiva. ', 'palavra é aplicada a outro espaço geográfico. ', 'designação atribuída ao termo é desconhecida. ', 'definição modifica o significado do termo no dicionário.*SA0175AZ15*LC - 1º dia | Caderno 1 - AZUL - Página 16']"
37,C,"“Acuenda o Pajubá”: conheça o “dialeto secreto” utilizado por gays e travestis Com origem no iorubá, linguagem foi adotada por travestis e ganhou a comunidade “Nhaí, amapô! Não faça a loka e pague meu acué, deixe de equê se não eu puxo teu picumã!” Entendeu as palavras dessa frase? Se sim, é porque você manja alguma coisa de pajubá, o “dialeto secreto” dos gays e travestis. Adepto do uso das expressões, mesmo nos ambientes mais formais, um advogado afirma: “É claro que eu não vou falar durante uma audiência ou numa reunião, mas na firma, com meus colegas de trabalho, eu falo de ‘acué’ o tempo inteiro”, brinca. “A gente tem que ter cuidado de falar outras palavras porque hoje o pessoal já entende, né? Tá na internet, tem até dicionário...”, comenta. O dicionário a que ele se refere é o Aurélia, a dicionária da língua afiada, lançado no ano de 2006 e escrito pelo jornalista Angelo Vip e por Fred Libi. Na obra, há mais de 1 300 verbetes revelando o significado das palavras do pajubá. Não se sabe ao certo quando essa linguagem surgiu, mas sabe-se que há claramente uma relação entre o pajubá e a cultura africana, numa costura iniciada ainda na época do Brasil colonial. Disponível em: www.midiamax.com.br. Acesso em: 4 abr. 2017 (adaptado). Da perspectiva do usuário, o pajubá ganha status de dialeto, caracterizando-se como elemento de patrimônio linguístico, especialmente por ","['ter mais de mil palavras conhecidas. ', 'ter palavras diferentes de uma linguagem secreta. ', 'ser consolidado por objetos formais de registro. ', 'ser utilizado por advogados em situações formais. ', 'ser comum em conversas no ambiente de trabalho.']"
38,B,"Certa vez minha mãe surrou-me com uma corda nodosa que me pintou as costas de manchas sangrentas. Moído, virando a cabeça com dificuldade, eu distinguia nas costelas grandes lanhos vermelhos. Deitaram-me, enrolaram-me em panos molhados com água de sal – e houve uma discussão na família. Minha avó, que nos visitava, condenou o procedimento da filha e esta afligiu-se. Irritada, ferira-me à toa, sem querer. Não guardei ódio a minha mãe: o culpado era o nó. RAMOS, G. Infância. Rio de Janeiro: Record, 1998. Num texto narrativo, a sequência dos fatos contribui para a progressão temática. No fragmento, esse processo é indicado pela ","['alternância das pessoas do discurso que determinam o foco narrativo. ', 'utilização de formas verbais que marcam tempos narrativos variados. ', 'indeterminação dos sujeitos de ações que caracterizam os eventos narrados. ', 'justaposição de frases que relacionam semanticamente os acontecimentos narrados. ', 'recorrência de expressões adverbiais que organizam temporalmente a narrativa.']"
39,E,"Disponível em: www.facebook.com/omeusegredinho. Acesso em: 9 dez. 2017 (adaptado). Essa imagem ilustra a reação dos celíacos (pessoas sensíveis ao glúten) ao ler rótulos de alimentos sem glúten. Essas reações indicam que, em geral, os rótulos desses produtos ","['trazem informações explícitas sobre a presença do glúten. ', 'oferecem várias opções de sabor para esses consumidores. ', 'classificam o produto como adequado para o consumidor celíaco. ', 'influenciam o consumo de alimentos especiais para esses consumidores. ', 'variam na forma de apresentação de informações relevantes para esse público. *SA0175AZ16*LC - 1º dia | Caderno 1 - AZUL - Página 17']"
40,A,"ABL lança novo concurso cultural: “Conte o conto sem aumentar um ponto” Em razão da grande repercussão do concurso de Microcontos do Twitter da ABL, o Abletras, a Academia Brasileira de Letras lançou no dia do seu aniversário de 113 anos um novo concurso cultural intitulado “Conte o conto sem aumentar um ponto”, baseado na obra A cartomante, de Machado de Assis. “Conte o conto sem aumentar um ponto” tem como objetivo dar um final distinto do original ao conto cartomante, de Machado de Assis, utilizando-se o mesmo número de caracteres – ou inferior – que Machado concluiu seu trabalho, ou seja, 1 778 caracteres. Vale ressaltar que, para participar do concurso, o concorrente deverá ser seguidor do Twitter da ABL, o Abletras. Disponível em: www.academia.org.br. Acesso em: 18 out. 2015 (adaptado). O Twitter é reconhecido por promover o compartilhamento de textos. Nessa notícia, essa rede social foi utilizada como veículo/suporte para um concurso literário por causa do(a) ","['limite predeterminado de extensão do texto. ', 'interesse pela participação de jovens. ', 'atualidade do enredo proposto. ', 'fidelidade a fatos cotidianos. ', 'dinâmica da sequência narrativa.']"
41,E,"Disponível em: www.sul21.com.br. Acesso em: 1 dez. 2017 (adaptado).Nesse texto, busca-se convencer o leitor a mudar seu comportamento por meio da associação de verbos no modo imperativo à ","[' indicação de diversos canais de atendimento. ', ' divulgação do Centro de Defesa da Mulher. ', ' informação sobre a duração da campanha. ', ' apresentação dos diversos apoiadores. ', ' utilização da imagem das três mulheres.']"
42,C,"Casa de Vidro Houve protestos. Deram uma bola a cada criança e tempo para brincar. Elas aprenderam malabarismos incríveis e algumas viajavam pelo mundo exibindo sua alegre habilidade. (O problema é que muitos, a maioria, não tinham jeito e eram feios de noite, assustadores. Seria melhor prender essa gente – havia quem dissesse.) Houve protestos. Aumentaram o preço da carne, liberaram os preços dos cereais e abriram crédito a juros baixos para o agricultor. O dinheiro que sobrasse, bem, digamos, ora o dinheiro que sobrasse! Houve protestos. Diminuíram os salários (infelizmente aumentou o número de assaltos) porque precisamos combater a inflação e, como se sabe, quando os salários estão acima do índice de produtividade eles se tornam altamente inflacionários, de modo que. Houve protestos. Proibiram os protestos. no lugar dos protestos nasceu o ódio. Então surgiu a Casa de Vidro, para acabar com aquele ódio. ÂNGELO, I. A casa de vidro. São Paulo: Círculo do Livro, 1985. Publicado em 1979, o texto compartilha com outras obras da literatura brasileira escritas no período as marcas do contexto em que foi produzido, como a ","['referência à censura e à opressão para alegorizar a falta de liberdade de expressão característica da época. ', 'valorização de situações do cotidiano para atenuar os sentimentos de revolta em relação ao governo instituído. ', 'utilização de metáforas e ironias para expressar um olhar crítico em relação à situação social e política do país. ', 'tendência realista para documentar com verossimilhança o drama da população brasileira durante o Regime Militar. ', 'sobreposição das manifestações populares pelo discurso oficial para destacar o autoritarismo do momento históric o. *SA0175AZ17*LC - 1º dia | Caderno 1 - AZUL - Página 18']"
43,A,"Encontrando base em argumentos supostamente científicos, o mito do sexo frágil contribuiu historicamente para controlar as práticas corporais desempenhadas pelas mulheres. Na história do Brasil, exatamente na transição entre os séculos XIX e XX, destacam-se os esforços para impedir a participação da mulher no campo das práticas esportivas. As desconfianças em relação à presença da mulher no esporte estiveram culturalmente associadas ao medo de masculinizar o corpo feminino pelo esforço físico intenso. Em relação ao futebol feminino, o mito do sexo frágil atuou como obstáculo ao consolidar a crença de que o esforço físico seria inapropriado para proteger a feminilidade da mulher “normal”. Tal mito sustentou um forte movimento contrário à aceitação do futebol como prática esportiva feminina. Leis e propagandas buscaram desacreditar o futebol, considerando-o inadequado à delicadeza. Na verdade, as mulheres eram consideradas incapazes de se adequar às múltiplas dificuldades do “esporte-rei”. TEIXEIRA, F. L. S.; CAMINHA, I. O. Preconceito no futebol feminino: uma revisão sistemática. Movimento, Porto Alegre, n. 1, 2013 (adaptado). No contexto apresentado, a relação entre a prática do futebol e as mulheres é caracterizada por um ","['argumento biológico para justificar desigualdades históricas e sociais. ', 'discurso midiático que atua historicamente na desconstrução do mito do sexo frágil. ', 'apelo para a preservação do futebol como uma modalidade praticada apenas pelos homens. ', 'olhar feminista que qualifica o futebol como uma atividade masculinizante para as mulheres. ', 'receio de que sua inserção subverta o “esporte-rei” ao demonstrarem suas capacidades de jogo.']"
44,D,"Farejador de Plágio: uma ferramenta contra a cópia ilegal No mundo acadêmico ou nos veículos de comunicação, as cópias ilegais podem surgir de diversas maneiras, sendo integrais, parciais ou paráfrases. Para ajudar a combater esse crime, o professor Maximiliano Zambonatto Pezzin, engenheiro de computação, desenvolveu junto com os seus alunos o programa Farejador de Plágio. O programa é capaz de detectar: trechos contínuos e fragmentados, frases soltas, partes de textos reorganizadas, frases reescritas, mudanças na ordem dos períodos e erros fonéticos e sintáticos. Mas como o programa realmente funciona? Considerando o texto como uma sequência de palavras, a ferramenta analisa e busca trecho por trecho nos sites de busca, assim como um professor desconfiado de um aluno faria. A diferença é que o programa permite que se pesquise em vários buscadores, gerando assim muito mais resultados. Disponível em: http://reporterunesp.jor.br. Acesso em: 19 mar. 2018.Segundo o texto, a ferramenta Farejador de Plágio alcança seu objetivo por meio da ","['seleção de cópias integrais. ', 'busca em sites especializados. ', 'simulação da atividade docente. ', 'comparação de padrões estruturais. ', 'identificação de sequência de fonemas.']"
45,A,"TEXTO I BRACCO, A; LOSCHI, M. Quando rotas se tornam arte. Retratos: a revista do IBGE. Rio de Janeiro, n. 3, set. 2017 (adaptado). TEXTO II Stephen Lund, artista canadense, morador em Victoria, capital da Colúmbia Britânica (Canadá), transformou-se em fenômeno mundial produzindo obras de arte virtuais pedalando sua bike. Seguindo rotas traçadas com o auxílio de um dispositivo de GPS, ele calcula ter percorrido mais de 10 mil quilômetros. Disponível em: www.booooooom.com. Acesso em: 9 dez. 2017 (adaptado). Os textos destacam a inovação artística proposta por Stephen Lund a partir do(a) deslocamento das tecnologias de suas funções habituais. ","['perspectiva de funcionamento do dispositivo de GPS. ', 'ato de guiar sua bicicleta pelas ruas da cidade. ', 'análise dos problemas de mobilidade urbana. ', 'foco na promoção cultural da sua cidade. *SA0175AZ18*LC - 1º dia | Caderno 1 - AZUL - Página 19 INSTRUÇÕES PARA A REDAÇÃO 1. O rascunho da redação deve ser feito no espaço apropriado. 2. O texto definitivo deve ser escrito à tinta, na folha própria, em até 30 linhas. 3. A redação que apresentar cópia dos textos da Proposta de Redação ou do Caderno de Questões terá o número de linhas copiadas desconsiderado para efeito de correção. 4. Receberá nota zero, em qualquer das situações expressas a seguir, a redação que: 4.1. tiver até 7 (sete) linhas escritas, sendo considerada “texto insuficiente”. 4.2. fugir ao tema ou que não atender ao tipo dissertativo-argumentativo. 4.3. apresentar parte do texto deliberadamente desconectada do tema proposto. TEXT OS MOTI VADORES TEXTO I Às segundas-feiras pela manhã, os usuários de um serviço de música digital recebem uma lista personalizada de músicas que lhes permite descobrir novidades. Assim como os sistemas de outros aplicativos e redes sociais, este cérebro artificial consegue traçar um retrato automatizado do gosto de seus assinantes e constrói uma máquina de sugestões que não costuma falhar. O sistema se baseia em um algoritmo cuja evolução e usos aplicados ao consumo cultural são infinitos. De fato, plataformas de transmissão de vídeo on-line começam a desenhar suas séries de sucesso rastreando o banco de dados gerado por todos os movimentos dos usuários para analisar o que os satisfaz. O algoritmo constrói assim um universo cultural adequado e complacente com o gosto do consumidor, que pode avançar até chegar sempre a lugares reconhecíveis. Dessa forma, a filtragem de informação feita pelas redes sociais ou pelos sistemas de busca pode moldar nossa maneira de pensar. E esse é o problema principal: a ilusão de liberdade de escolha que muitas vezes é gerada pelos algoritmos. VERDÚ, Daniel. O gosto na era do algoritmo . Disponível em: https://brasil.elpais.com. Acesso em: 11 jun. 2018 (adaptado). TEXTO II Nos sistemas dos gigantes da internet, a filtragem de dados é transferida para um exército de moderadores em empresas localizadas do Oriente Médio ao Sul da Ásia, que têm um papel importante no controle daquilo que deve ser eliminado da rede social, a partir de sinalizações dos usuários. Mas a informação é então processada por um algoritmo, que tem a decisão final. Os algoritmos são literais. Em poucas palavras, são uma opinião embrulhada em código. E estamos caminhando para um estágio em que é a máquina que decide qual notícia deve ou não ser lida. PEPE ESCOBAR. A silenciosa ditadura do algoritmo . Disponível e m: http://outraspalavras.net. Acesso em: 5 jun. 2017 (adaptado). TEXTO IV Mudanças sutis nas informações às quais somos expostos podem transformar nosso comportamento. As redes têm selecionado as notícias sob títulos chamativos como “trending topics” ou critérios como “relevância”. Mas nós praticamente não sabemos como isso tudo é filtrado. Quanto mais informações relevantes tivermos nas pontas dos dedos, melhor equipados estamos para tomar decisões. No entanto, surgem algumas tensões fundamentais: entre a conveniência e a deliberação; entre o que o usuário deseja e o que é melhor para ele; entre a transparência e o lado comercial. Quanto mais os sistemas souberem sobre você em comparação ao que você sabe sobre eles, há mais riscos de suas escolhas se tornarem apenas uma série de reações a “cutucadas” invisíveis. O que está em jogo não é tanto a questão “homem versus máquina”, mas sim a disputa “decisão informada versus obediência influenciada”. CHATFIELD, Tom. Como a internet influencia secretamente nossas escolhas. Disponível em: www.bbc.com. Acesso em: 3 jun. 2017 (adaptado). PROPOSTA DE REDAÇÃO ', 'partir da leitura dos textos motivadores e com base nos conhecimentos construídos ao longo de sua formação, redija um texto dissertativo-argumentativo em modalidade escrita formal da língua portuguesa sobre o tema “Manipulação do comportamento do usuário pelo controle de dados na internet”, apresentando proposta de intervenção que respeite os direitos humanos. Selecione, organize e relacione, de forma coerente e coesa, argumentos e fatos para defesa de seu ponto de vista.Utilização da Internet Finalidade do acesso à Internet (%)64,7 % das pessoas de 10 anos ou mais de idade utilizaram a internet. Cerca de 85% dos jovens de 18 a 24 anos de idade e 25% das pessoas de 60 anos ou mais de idade utilizaram a internet. Enviar ou receber mensagens de texto,voz ou imagens por aplicativos diferentes de e-mailAssistir a vídeos,inclusive programas,séries e filmes Enviar ou receber e-mails (correio eletrônico)Conversar porchamada de vozou vídeo 94,2 73,3 76,4 69,3 @63,8 % 65,5 % TEXTO III Internet no Brasil em 2016. Disponível em: www.ibge.gov.br. Acesso em: 18 jun. 2018 (adaptado).*SA0175AZ19*CH - 1º dia | Caderno 1 - AZUL - Página 20 CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS Questões de 46 a 90']"
46,C,"No Segundo Congresso Internacional de Ciências Geográficas, em 1875, a que compareceram o presidente da República, o governador de Paris e o presidente da Assembleia, o discurso inaugural do almirante La Roucière-Le Noury expôs a atitude predominante no encontro: “Cavalheiros, a Providência nos ditou a obrigação de conhecer e conquistar a terra. Essa ordem suprema é um dos deveres imperiosos inscritos em nossas inteligências e nossas atividades. geografia, essa ciência que inspira tão bela devoção e em cujo nome foram sacrificadas tantas vítimas, tornou-se a filosofia da terra”. SAID, E. Cultura e política . São Paulo: Cia. das Letras, 1995. No contexto histórico apresentado, a exaltação da ciência geográfica decorre do seu uso para o(a) ","['preservação cultural dos territórios ocupados. ', 'formação humanitária da sociedade europeia. ', 'catalogação de dados úteis aos propósitos colonialistas. ', 'desenvolvimento de técnicas matemáticas de construção de cartas. ', 'consolidação do conhecimento topográfico como campo acadêmico.']"
47,A,"existência em Jerusalém de um hospital voltado para o alojamento e o cuidado dos peregrinos, assim como daqueles entre eles que estavam cansados ou doentes, fortaleceu o elo entre a obra de assistência e de caridade e a Terra Santa. Ao fazer, em 1113, do Hospital de Jerusalém um estabelecimento central da ordem, Pascoal II estimulava a filiação dos hospitalários do Ocidente a ele, sobretudo daqueles que estavam ligados à peregrinação na Terra Santa ou em outro lugar. A militarização do Hospital de Jerusalém não diminuiu a vocação caritativa primitiva, mas a fortaleceu. DEMURGER, A. Os Cavaleiros de Cristo. Rio de Janeiro: Jorge Zahar, 2002 (adaptado). O acontecimento descrito vincula-se ao fenômeno ocidental do(a) ","['surgimento do monasticismo guerreiro, ocasionado pelas cruzadas. ', 'descentralização do poder eclesiástico, produzida pelo feudalismo. ', 'alastramento da peste bubônica, provocado pela expansão comercial. ', 'afirmação da fraternidade mendicante, estimulada pela reforma espiritual. ', 'criação das faculdades de medicina, promovida pelo renascimento urbano.']"
48,C,"tribo não possui um rei, mas um chefe que não é chefe de Estado. O que significa isso? Simplesmente que o chefe não dispõe de nenhuma autoridade, de nenhum poder de coerção, de nenhum meio de dar uma ordem. O chefe não é um comandante, as pessoas da tribo não têm nenhum dever de obediência. O espaço da chefia não é o lugar do poder. Essencialmente encarregado de eliminar conflitos que podem surgir entre indivíduos, famílias e linhagens, o chefe só dispõe, para restabelecer a ordem e a concórdia, do prestígio que lhe reconhece a sociedade. Mas evidentemente prestígio não significa poder, e os meios que o chefe detém para realizar sua tarefa de pacificador limitam-se ao uso exclusivo da palavra. CLASTRES, P. A sociedade contra o Estado. Rio de Janeiro: Francisco Alves, 1982 (adaptado). O modelo político das sociedades discutidas no texto contrasta com o do Estado liberal burguês porque se baseia em: ","['Imposição ideológica e normas hierárquicas. ', 'Determinação divina e soberania monárquica. ', 'Intervenção consensual e autonomia comunitária. ', 'Mediação jurídica e regras contratualistas. ', 'Gestão coletiva e obrigações tributárias.']"
49,D,"O filósofo reconhece-se pela posse inseparável do gosto da evidência e do sentido da ambiguidade. Quando se limita a suportar a ambiguidade, esta se chama equívoco. Sempre aconteceu que, mesmo aqueles que pretenderam construir uma filosofia absolutamente positiva, só conseguiram ser filósofos na medida em que, simultaneamente, se recusaram o direito de se instalar no saber absoluto. O que caracteriza o filósofo é o movimento que leva incessantemente do saber à ignorância, da ignorância ao saber, e um certo repouso neste movimento. MERLEAU-PONTY, M. Elogio da filosofia . Lisboa: Guimarães, 1998 (adaptado). O texto apresenta um entendimento acerca dos elementos constitutivos da atividade do filósofo, que se caracteriza por ","['reunir os antagonismos das opiniões ao método dialético. ', 'ajustar a clareza do conhecimento ao inatismo das ideias. ', 'associar a certeza do intelecto à imutabilidade da verdade. ', 'conciliar o rigor da investigação à inquietude do questionamento. ', 'compatibilizar as estruturas do pensamento aos princípios fundamentais.*SA0175AZ20*CH - 1º dia | Caderno 1 - AZUL - Página 21']"
50,D,"Figura 1 Disponível em: www.thehenryford.org. Acesso em: 3 maio 2018. Figura 2 Disponível em: www.abc.net.au. Acesso em: 3 maio 2018. Esse ônibus relaciona-se ao ato praticado, em 1955, por Rosa Parks, apresentada em fotografia ao lado de Martin Luther King. O veículo alcançou o estatuto de obra museológica por simbolizar o(a) ","['impacto do medo da corrida armamentista. ', 'democratização do acesso à escola pública. ', 'preconceito de gênero no transporte coletivo. ', 'deflagração do movimento por igualdade civil. ', 'eclosão da rebeldia no comportamento juvenil.']"
51,B,"Desde que tenhamos compreendido o significado da palavra “Deus”, sabemos, de imediato, que Deus existe. Com efeito, essa palavra designa uma coisa de tal ordem que não podemos conceber nada que lhe seja maior. Ora, o que existe na realidade e no pensamento é maior do que o que existe apenas no pensamento. Donde se segue que o objeto designado pela palavra “Deus”, que existe no pensamento, desde que se entenda essa palavra, também existe na realidade. Por conseguinte, a existência de Deus é evidente. TOMÁS DE AQUINO. Suma teológica. Rio de Janeiro: Loyola, 2002.O texto apresenta uma elaboração teórica de Tomás de Aquino caracterizada por ","['reiterar a ortodoxia religiosa contra os heréticos. ', 'sustentar racionalmente doutrina alicerçada na fé. ', 'explicar as virtudes teologais pela demonstração. ', 'flexibilizar a interpretação oficial dos textos sagrados. ', 'justificar pragmaticamente crença livre de dogmas.']"
52,D,"TEXTO I Tudo aquilo que é válido para um tempo de guerra, em que todo homem é inimigo de todo homem, é válido também para o tempo durante o qual os homens vivem sem outra segurança senão a que lhes pode ser oferecida por sua própria força e invenção. HOBBES, T. Leviatã. São Paulo: Abril Cultural, 1983. TEXTO II Não vamos concluir, com Hobbes que, por não ter nenhuma ideia de bondade, o homem seja naturalmente mau. Esse autor deveria dizer que, sendo o estado de natureza aquele em que o cuidado de nossa conservação é menos prejudicial à dos outros, esse estado era, por conseguinte, o mais próprio à paz e o mais conveniente ao gênero humano. ROUSSEAU, J.-J. Discurso sobre a origem e o fundamento da desigualdade entre os homens. São Paulo: Martins Fontes, 1993 (adaptado). Os trechos apresentam divergências conceituais entre autores que sustentam um entendimento segundo o qual a igualdade entre os homens se dá em razão de uma ","['predisposição ao conhecimento. ', 'submissão ao transcendente. ', 'tradição epistemológica. ', 'condição original. ', 'vocação política.']"
53,D,"Foi-se o tempo em que era possível mostrar um mundo econômico organizado em camadas bem definidas, onde grandes centros urbanos se ligavam, por si próprios, a economias adjacentes “lentas”, com o ritmo muito mais rápido do comércio e das finanças de longo alcance. Hoje tudo ocorre como se essas camadas sobrepostas estivessem mescladas e interpermeadas. Interdependências de curto e longo alcance não podem mais ser separadas umas das outras. BRENNER, N. A globalização como reterritorialização. Cadernos Metrópole, n. 24, jul.-dez. 2010 (adaptado). maior complexidade dos espaços urbanos contemporâneos ressaltada no texto explica-se pela ","['expansão de áreas metropolitanas. ', 'emancipação de novos municípios. ', 'consolidação de domínios jurídicos. ', 'articulação de redes multiescalares. ', 'redefinição de reg iões administr ativas.*SA0175AZ21*CH - 1º dia | Caderno 1 - AZUL - Página 22']"
54,E,"TEXTO I pois que em outra cousa nesta parte me não posso vingar do demônio, admoesto da parte da cruz de Cristo Jesus a todos que este lugar lerem, que deem a esta terra o nome que com tanta solenidade lhe foi posto, sob pena de a mesma cruz que nos há de ser mostrada no dia final, os acusar de mais devotos do pau-brasil que dela. BARROS, J. In: SOUZA, L. M. Inferno atlântico : demonologia e colonização: séculos XVI-XVIII. São Paulo: Cia. das Letras, 1993. TEXTO II deste modo se hão os povoadores, os quais, por mais arraigados que na terra estejam e mais ricos que sejam, tudo pretendem levar a Portugal, e, se as fazendas e bens que possuem souberam falar, também lhes houveram de ensinar a dizer como os papagaios, aos quais a primeira coisa que ensinam é: papagaio real para Portugal, porque tudo querem para lá. SALVADOR, F. V. In: SOUZA, L. M. (Org.). História da vida privada no Brasil: cotidiano e vida privada na América portuguesa. São Paulo: Cia. das Letras, 1997. As críticas desses cronistas ao processo de colonização portuguesa na América estavam relacionadas à ","['utilização do trabalho escravo. ', 'implantação de polos urbanos. ', 'devastação de áreas naturais. ', 'ocupação de terras indígenas. ', 'expropriação de riquezas locais.']"
55,C,"Os soviéticos tinham chegado a Cuba muito cedo na década de 1960, esgueirando-se pela fresta aberta pela imediata hostilidade norte-americana em relação ao processo social revolucionário. Durante três décadas os soviéticos mantiveram sua presença em Cuba com bases e ajuda militar, mas, sobretudo, com todo o apoio econômico que, como saberíamos anos mais tarde, mantinha o país à tona, embora nos deixasse em dívida com os irmãos soviéticos – e depois com seus herdeiros russos – por cifras que chegavam a US$ 32 bilhões. Ou seja, o que era oferecido em nome da solidariedade socialista tinha um preço definido. PADURA, L. Cuba e os russos. Folha de São Paulo , 19 jul. 2014 (adaptado). O texto indica que durante a Guerra Fria as relações internas em um mesmo bloco foram marcadas pelo(a) ","['busca da neutralidade política. ', 'estímulo à competição comercial. ', 'subordinação à potência hegemônica. ', 'elasticidade das fronteiras geográficas. ', 'compartilhamento de pesquisas científicas.']"
56,C,"Anamorfose é a transformação cartográfica espacial em que a forma dos objetos é distorcida, de forma a realçar o tema. A área das unidades espaciais às quais o tema se refere é alterada de forma proporcional ao respectivo valor. GASPAR, A. J. Dicionário de ciências cartográficas. Lisboa: Lidel, 2004. ","['técnica descrita foi aplicada na seguinte forma de representação do espaço: ', '', '456416 432 440 420 400456 440 432 416420 400 20m 20m CCanadá Estados Unidos Cuba MéxicoRepública Dominicana Guatemala Venezuela Colômbia Equador Peru Chile ArgentinaBrasil ', '', '*SA0175AZ22*CH - 1º dia | Caderno 1 - AZUL - Página 23']"
57,E,"poetisa Emília Freitas subiu a um palanque, nervosa, pedindo desculpas por não possuir títulos nem conhecimentos, mas orgulhosa ofereceu a sua pena que “sem ser hábil, é, em compensação, guiada pelo poder da vontade”. Maria Tomásia pronunciava orações que levantavam os ouvintes. A escritora Francisca Clotilde arrebatava, declamando seus poemas. Aquelas “angélicas senhoras”, “heroínas da caridade”, levantavam dinheiro para comprar liberdades e usavam de seu entusiasmo a fim de convencer os donos de escravos a fazerem alforrias gratuitamente. MIRANDA, A. Disponível em: www.opovoonline.com.br. Acesso em: 10 jun. 2015. As práticas culturais narradas remetem, historicamente, ao movimento ","['feminista. ', 'sufragista. ', 'socialista. ', 'republicano. ', 'abolicionista.']"
58,D,"democracia que eles pretendem é a democracia dos privilégios, a democracia da intolerância e do ódio. democracia que eles querem é para liquidar com a Petrobras, é a democracia dos monopólios, nacionais e internacionais, a democracia que pudesse lutar contra o povo. Ainda ontem eu afirmava que a democracia jamais poderia ser ameaçada pelo povo, quando o povo livremente vem para as praças – as praças que são do povo. Para as ruas – que são do povo. Disponível em: www.revistadehistoria.com.br/secao/artigos/discurso-de-joao-goulart-no- comicio-da-central. Acesso em: 29 out. 2015. Em um momento de radicalização política, a retórica no discurso do presidente João Goulart, proferido no comício da Central do Brasil, buscava justificar a necessidade de ","['conter a abertura econômica para conseguir a adesão das elites. ', 'impedir a ingerência externa para garantir a conservação de direitos. ', 'regulamentar os meios de comunicação para coibir os partidos de oposição. ', 'aprovar os projetos reformistas para atender a mobilização de setores trabalhistas. ', 'incrementar o processo de desestatização para diminuir a pressão da opinião pública.']"
